User: root, Home: /root
User: daemon, Home: /usr/sbin
User: bin, Home: /bin
User: sys, Home: /dev
User: sync, Home: /bin
User: games, Home: /usr/games
User: man, Home: /var/cache/man
User: lp, Home: /var/spool/lpd
User: mail, Home: /var/mail
User: news, Home: /var/spool/news
User: uucp, Home: /var/spool/uucp
User: proxy, Home: /bin
User: www-data, Home: /var/www
User: backup, Home: /var/backups
User: list, Home: /var/list
User: irc, Home: /run/ircd
User: _apt, Home: /nonexistent
User: nobody, Home: /nonexistent
User: systemd-network, Home: /
User: systemd-timesync, Home: /
User: dhcpcd, Home: /usr/lib/dhcpcd
User: messagebus, Home: /nonexistent
User: syslog, Home: /nonexistent
User: systemd-resolve, Home: /
User: uuidd, Home: /run/uuidd
User: landscape, Home: /var/lib/landscape
User: polkitd, Home: /
User: devdsg, Home: /home/devdsg
